x,y,score
0.08,0.22,1.45965
0.18,0.8,1.66635
0.3,0.29,2.21265
0.04,0.41,1.2069
0.99,0.73,3.50795
0.76,0.5,2.73075
0.97,0.16,2.7675
0.26,0.18,2.31565
0.31,0.03,2.9052
0.57,0.54,2.9188
0.94,0.5,2.29955
0.25,0.71,1.9216
0.73,0.95,3.4011
0.07,0.71,1.27925
0.11,0.3,1.5463
0.26,0.58,1.9745
0.39,0.27,2.41305
0.98,0.77,4.03815
0.57,0.99,2.90025
0.4,0.55,2.4624
0.19,0.24,1.94365
0.97,0.19,2.7068
0.44,0.79,2.5342
0.19,0.12,2.2634
0.24,0.81,1.8637
0.35,0.56,2.3019
0.13,0.85,1.47725
0.94,0.65,3.10125
0.33,0.58,2.22285
0.73,0.16,2.70545
0.14,0.55,1.5787
0.69,0.14,2.7251
0.09,0.93,1.3208
0.66,0.18,2.63065
0.15,0.82,1.5617
0.2,0.81,1.71875
1.0,0.66,2.94215
0.36,0.83,2.26335
0.64,0.85,3.138
0.09,0.78,1.34385
0.5,0.62,2.7257
0.78,0.75,3.58405
0.68,0.68,3.2805
0.1,0.95,1.36065
0.78,0.82,3.5566
0.4,0.29,2.39825
0.49,0.55,2.7197
0.7,0.83,3.3739
0.85,0.13,2.8152
0.81,1.0,3.6358
0.8,0.79,3.61005
0.36,0.61,2.31485
0.89,0.04,3.02185
0.51,0.45,2.65075
0.99,0.68,3.3222
0.58,0.06,2.901
0.08,0.29,1.414
0.93,0.0,3.1259
0.84,0.93,3.7404
0.92,0.37,2.30405
0.01,0.9,1.03245
0.99,0.17,2.74865
0.84,0.79,3.70305
0.04,0.67,1.17445
0.99,0.66,3.0897
0.21,0.24,1.98265
0.39,0.92,2.33095
0.21,0.77,1.7905
0.35,0.58,2.2722
0.68,0.52,2.85885
0.71,0.52,2.85605
0.68,0.36,2.3762
0.2,0.32,1.9066
0.13,0.55,1.54035
0.73,0.12,2.8011
0.06,0.51,1.2763
0.56,0.92,2.8809
0.11,0.01,2.88625
0.91,0.38,2.27425
0.12,0.98,1.436
0.06,0.79,1.22985
0.73,0.44,2.4638
0.65,0.28,2.4803
0.12,0.71,1.4575
0.28,0.2,2.3314
0.83,0.73,3.6222
1.0,0.12,2.84685
0.88,0.52,2.5565
0.13,0.14,1.95275
0.85,0.31,2.46105
0.43,0.51,2.51425
0.26,0.43,2.0235
0.05,0.34,1.27135
0.96,0.84,4.0771
0.94,0.09,2.93065
0.18,0.46,1.72705
0.19,0.86,1.69045
0.7,0.02,3.0289
0.3,0.18,2.39645
0.76,0.14,2.75975
0.72,0.65,3.2534
0.5,0.88,2.6945
